id,code,name
1,AF,농림축수산
2,ER,에너지/자원
3,UT,유틸리티
4,CI,건설/인프라
5,TL,교통/물류
6,MD,이동장비/국방
7,EF,장비/설비
8,MB,소재/기초제품
9,CG,생활소비재
10,DS,유통/서비스
11,MH,의학/헬스케어
12,IH,ICT HW
13,IS,ICT SW/NW
14,CM,콘텐츠/미디어
15,BS,비즈니스/지원
16,FR,금융/부동산
17,ZZ,분류없음
