rcept_no,reprt_code,bsns_year,corp_code,stock_code,thstrm_amount_연결재무제표_재무상태표_유동자산_2022.12.31 현재,thstrm_amount_연결재무제표_재무상태표_비유동자산_2022.12.31 현재,thstrm_amount_연결재무제표_재무상태표_자산총계_2022.12.31 현재,thstrm_amount_연결재무제표_재무상태표_유동부채_2022.12.31 현재,thstrm_amount_연결재무제표_재무상태표_비유동부채_2022.12.31 현재,thstrm_amount_연결재무제표_재무상태표_부채총계_2022.12.31 현재,thstrm_amount_연결재무제표_재무상태표_자본금_2022.12.31 현재,thstrm_amount_연결재무제표_재무상태표_이익잉여금_2022.12.31 현재,thstrm_amount_연결재무제표_재무상태표_자본총계_2022.12.31 현재,thstrm_amount_연결재무제표_손익계산서_매출액_2022.01.01 ~ 2022.12.31,thstrm_amount_연결재무제표_손익계산서_영업이익_2022.01.01 ~ 2022.12.31,thstrm_amount_연결재무제표_손익계산서_법인세차감전 순이익_2022.01.01 ~ 2022.12.31,thstrm_amount_연결재무제표_손익계산서_당기순이익_2022.01.01 ~ 2022.12.31
20230316001199,11011,2022,112970,1070,"99,100,925,561","111,538,632,313","210,639,557,874","61,689,419,718","13,702,697,024","75,392,116,742","5,300,000,000","126,816,693,635","135,247,441,132","191,519,691,272","-3,886,402,441","-7,294,616,886","-5,230,874,590"
20230323001065,11011,2022,1068348,217500,"67,541,143,644","10,889,515,861","78,430,659,505","14,073,578,051","8,856,885,121","22,930,463,172","3,181,200,000","31,458,280,275","55,500,196,333","41,926,139,186","4,500,835,036","4,315,247,902","3,826,630,737"
20230316001508,11011,2022,365457,89790,"59,941,470,911","20,896,566,314","80,838,037,225","26,016,887,840","218,791,019","26,235,678,859","5,157,756,500","36,269,046,780","54,602,358,366","81,858,814,170","15,070,504,342","17,001,130,654","15,039,626,198"
20230315001359,11011,2022,361008,82740,"471,073,549,323","485,156,745,315","956,230,294,638","498,756,380,835","235,848,085,863","734,604,466,698","71,543,994,000","-147,545,278,436","221,625,827,940","764,242,847,008","-29,534,217,363","-38,668,626,357","-40,272,392,255"
20230324000946,11011,2022,186939,26150,"110,319,800,814","73,551,236,517","183,871,037,331","67,211,796,318","10,523,084,901","77,734,881,219","8,773,165,500","27,870,144,670","106,136,156,112","202,958,033,834","2,684,562,756","2,807,496,302","1,749,662,481"
20230322001237,11011,2022,604268,262260,"104,081,998,977","36,172,116,894","140,254,115,871","78,759,970,162","1,572,178,713","80,332,148,875","7,220,321,500","2,129,765,143","59,921,966,996","79,393,169,579","-2,514,713,726","-2,546,296,429","-1,682,261,292"
20230321001229,11011,2022,163691,700,"314,536,587,203","199,750,422,188","524,926,064,872","63,779,943,527","13,447,585,607","79,255,169,817","65,104,530,000","253,164,432,899","445,670,895,055",,"29,646,246,718","43,546,308,479","44,118,934,136"
20230320000617,11011,2022,197759,25560,"75,437,247,350","58,972,262,286","134,409,509,636","33,854,991,978","7,188,561,941","41,043,553,919","2,226,003,900","-47,191,832,182","93,365,955,717","56,171,983,500","8,004,566,211","8,059,369,506","8,023,364,156"
20230316000673,11011,2022,113492,4540,"178,461,002,366","482,585,976,884","661,046,979,250","222,191,293,067","197,508,063,805","419,699,356,872","37,606,853,000","52,412,686,501","241,347,622,378","606,453,743,473","3,754,759,313","-2,675,629,050","-2,908,390,769"
20230321000571,11011,2022,133663,53060,"37,832,037,124","71,803,145,478","109,635,182,602","46,915,416,872","34,240,220,435","81,155,637,307","8,729,503,500","-5,228,621,801","28,479,545,295","156,051,328,239","12,446,970,777","10,526,366,129","12,369,585,016"
20230322000479,11011,2022,1025644,217730,"45,906,520,168","34,685,184,645","80,591,704,813","19,708,665,596","13,622,745,005","33,331,410,601","19,002,712,000","-137,200,909,036","47,260,294,212","16,300,572,670","-20,558,498,336","-20,215,223,146","-20,176,260,643"
20230321000580,11011,2022,132318,14620,"273,411,518,468","253,702,534,975","527,114,053,443","43,060,009,503","12,311,328,481","55,371,337,984","14,300,000,000","466,978,540,486","471,742,715,459","244,025,545,479","26,760,618,158","51,001,567,903","39,244,701,512"
20230322001311,11011,2022,475985,48870,"112,675,798,817","114,700,043,121","227,375,841,938","53,903,993,511","1,807,722,648","55,711,716,159","41,354,172,000","-84,418,749,268","171,664,125,779","30,318,933,142","1,203,893,696","-8,791,315,817","22,815,646,806"
20230322000734,11011,2022,604028,376180,"23,695,426,319","27,888,580,770","51,584,007,089","20,243,747,160","64,016,113","20,307,763,273","1,831,749,800","17,208,989,343","31,276,243,816","29,374,438,993","3,326,445,081","3,592,278,648","3,204,593,197"
20230316000192,11011,2022,260392,6340,"200,914,428,407","45,044,104,067","245,958,532,474","142,834,595,591","11,525,051,129","154,359,646,720","37,292,867,000","47,905,021,606","91,598,885,754","562,428,058,271","1,346,085,446","1,895,538,151","1,354,066,071"
20230315001266,11011,2022,151605,13720,"52,817,397,602","21,550,932,588","74,368,330,190","30,669,371,980","1,065,436,286","31,734,808,266","29,675,456,500","-30,710,247,762","42,633,521,924","36,024,332,730","393,425,760","-30,726,477,282","-29,696,021,886"
20230323001266,11011,2022,145738,24810,"165,327,129,135","193,369,135,613","358,696,264,748","130,976,497,771","8,960,920,456","139,937,418,227","24,601,609,000","-63,838,390,117","218,758,846,571","52,488,492,352","-2,875,788,553","-83,093,859,573","-83,353,497,417"
20230320000557,11011,2022,415327,72020,"39,590,156,953","75,268,426,057","114,858,583,010","13,312,940,676","6,241,192,889","19,554,133,565","4,980,000,000","68,376,158,859","95,304,449,445","39,299,158,624","4,282,862,471","4,806,760,108","4,044,456,006"
20230321000796,11011,2022,523307,68240,"351,616,078,260","321,261,955,557","672,878,033,817","376,169,405,635","91,226,531,495","467,395,937,130","17,330,259,500","-80,507,158,387","205,482,096,687","209,188,579,520","-159,266,398,763","-169,981,377,034","-151,929,556,818"
20230320000375,11011,2022,128980,10960,"146,333,598,697","136,059,263,512","282,392,862,209","49,462,682,948","14,074,410,493","63,537,093,441","12,500,000,000","191,048,337,125","218,855,768,768","307,522,114,170","4,469,401,497","7,957,841,765","5,925,977,294"
20230314001191,11011,2022,149354,1630,"398,595,725,433","977,777,244,121","1,376,372,969,554","399,407,472,213","178,421,551,247","577,829,023,460","12,524,652,500","361,834,619,617","798,543,946,094","908,962,764,139","-32,878,294,931","-24,708,272,309","-22,663,808,796"
20230320001066,11011,2022,486705,139990,"345,921,495,870","414,306,990,018","760,228,485,888","369,474,451,136","153,274,776,128","522,749,227,264","13,226,094,500","104,259,512,789","237,479,258,624","1,056,170,390,159","4,599,028,519","-988,916,149","-4,110,014,852"
20230316001205,11011,2022,153524,11280,"171,430,957,662","479,786,817,393","651,217,775,055","186,309,618,375","98,400,387,272","284,710,005,647","35,402,970,000","257,080,834,457","366,507,769,408","784,022,455,987","30,895,370,651","26,050,229,408","23,195,342,302"
20230315000935,11011,2022,962223,263860,"47,484,592,365","12,208,001,447","59,692,593,812","10,841,115,171","950,311,015","11,791,426,186","4,722,300,000","36,236,042,568","47,901,167,626","38,452,577,834","6,920,292,722","7,807,767,698","7,146,285,721"
